ෞ,au,diacritic
ූ,ū,diacritic
ෲ,ṝ,diacritic
ී,ī,diacritic
ෘ,ṛ,diacritic
ේ,ē,diacritic
ෙ,e,diacritic
ො,o,diacritic
ෝ,ō,diacritic
ා,ā,diacritic
ු,u,diacritic
ෟ,ḷ,diacritic
ෑ,ǣ,diacritic
ි,i,diacritic
ෛ,ai,diacritic
ැ,æ,diacritic
ං,aṁ,diacritic
්,,diacritic
ඬ,n̆ḍa,
ඉ,i,
ඟ,n̆ga,
හ,ha,
ස,sa,
ඕ,ō,
උ,u,
ඈ,ǣ,
ඹ,m̆ba,
ර,ra,
ඡ,cha,
ත,ta,
ළ,ḷa,
ද,da,
ක,ka,
ෆ,fa,
ණ,ṇa,
ඔ,o,
ඌ,ū,
ට,ṭa,
ජ,ja,
ඨ,ṭha,
ම,ma,
ආ,ā,
ඛ,kha,
ල,la,
එ,e,
ග,ga,
ඊ,ī,
ඳ,n̆da,
ධ,dha,
ඥ,gna,
ඇ,æ,
ඵ,pha,
අ,a,
භ,bha,
ඝ,gha,
ඖ,au,
ය,ya,
ව,va,
ප,pa,
ෂ,ṣa,
ශ,śa,
ඩ,ḍa,
බ,ba,
ච,ca,
ථ,tha,
න,na,
ඒ,ē,
